Fatty	acid: 62
Growth	hormone: 53
Neuropeptide	Y: 48
Protein	tyrosine: 30
Uric	acid: 28
Angiotensin	II: 26
Nitric	oxide: 23
Bisphenol	A: 22
2	-: 21
Vitamin	A: 19
Folic	acid: 17
Peptide	YY: 16
Vitamin	E: 13
Melanin-concentrating	hormone: 12
PCB	153: 11
Lipoic	acid: 11
Vitamin	C: 9
Vitamin	B12: 7
Bile	acid: 7
Amino	acid: 7
Retinoic	acid: 6
Palmitic	acid: 6
Neuromedin	U: 6
Linoleic	acid: 6
Docosahexaenoic	acid: 6
alpha-Lipoic	acid: 5
Vitamin	D3: 5
Substance	P: 5
L-Ascorbic	acid: 5
Caffeic	acid: 5
Activin	A: 5
alpha-Melanocyte-stimulating	hormone: 4
Valproic	acid: 4
Ursodeoxycholic	acid: 4
Parathyroid	hormone: 4
Palmitoleic	acid: 4
Lysophosphatidic	acid: 4
Eicosapentaenoic	acid: 4
Clomiphene	citrate: 4
Betulinic	acid: 4
Ascorbic	acid: 4
Ursolic	acid: 3
Reduced	insulin: 3
Propionic	acid: 3
Pancreatic	polypeptide: 3
Luteinizing	hormone: 3
Galanin-like	peptide: 3
Evans	blue: 3
Ellagic	acid: 3
Cyclic	AMP: 3
Chlorogenic	acid: 3
Calcium	oxalate: 3
Amino	acids: 3
gamma-Aminobutyric	acid: 2
Urotensin	II: 2
Triton	X-100: 2
T	antigen: 2
Superoxide	anion: 2
Sodium	salicylate: 2
Protein	C: 2
Platycodin	D: 2
Oleic	acid: 2
Mycophenolate	mofetil: 2
Lactic	acid: 2
Hydrogen	sulfide: 2
Hyaluronic	acid: 2
Glycyrrhizic	acid: 2
Ethinyl	estradiol: 2
Dehydroepiandrosterone	sulfate: 2
DHEA	sulfate: 2
Congo	red: 2
Coenzyme	Q: 2
Cholesterol	ester: 2
Bile	salt: 2
Aristolochic	acid: 2
Actinomycin	D: 2
Abscisic	acid: 2
AM	251: 2
alpha-Linolenic	acid: 1
Zinc	protoporphyrin: 1
Zinc	ion: 1
Vitamin	U: 1
Vitamin	K: 1
Vaccenic	acid: 1
Thromboxane	B2: 1
Tauroursodeoxycholic	acid: 1
Stearic	acid: 1
Sodium	chloride: 1
Rosmarinic	acid: 1
Ribonucleic	acid: 1
Resolvin	D1: 1
Reduced	glutathione: 1
Punicic	acid: 1
Pentadecanoic	acid: 1
PCB	105: 1
Oleanolic	acid: 1
Nordihydroguaiaretic	acid: 1
Nicotinic	acid: 1
Nicotinamide	mononucleotide: 1
Neuromedin	B: 1
Methylthioninium	chloride: 1
Methylene	blue: 1
Malonic	acid: 1
Long-chain	acyl-CoA: 1
LY	294002: 1
Hydrogen	peroxide: 1
Hoechst	33342: 1
Heparan	sulfate: 1
Glutamic	acid: 1
Glucose	6-phosphate: 1
FK	506: 1
Ethyl	acetate: 1
Erucic	acid: 1
Elaidic	acid: 1
Docosapentaenoic	acid: 1
Dihomo-gamma-linolenic	acid: 1
Deoxyribonucleic	acid: 1
Cytochrome	c: 1
Cyanidin	3-O-glucoside: 1
Coenzyme	A: 1
Clomifene	citrate: 1
Carbon	monoxide: 1
Carbon	dioxide: 1
Calcium	carbonate: 1
Astragaloside	IV: 1
Astragaloside	II: 1
Artemisinic	acid: 1
Angiotensin	I: 1
Anacardic	acid: 1
Amphotericin	B: 1
Adrenocorticotropic	hormone: 1
Adenosine	5'-monophosphate: 1
Acetic	acid: 1
Abietic	acid: 1
3-phenylpropionic	acid: 1
20-Hydroxyeicosatetraenoic	acid: 1
