skeletal	muscle: 1710
protein	kinase: 793
plasminogen	activator: 317
alanine	aminotransferase: 302
lipoprotein	lipase: 155
11beta-hydroxysteroid	dehydrogenase: 127
NADPH	oxidase: 107
aspartate	aminotransferase: 106
superoxide	dismutase: 97
acetyl-CoA	carboxylase: 92
hormone-sensitive	lipase: 91
prostate-specific	antigen: 90
messenger	RNA: 90
glutathione	peroxidase: 90
phosphatidylinositol	3-kinase: 81
triglyceride	lipase: 69
alkaline	phosphatase: 68
NO	synthase: 61
cytochrome	c: 56
phosphoenolpyruvate	carboxykinase: 48
citrate	synthase: 44
carnitine	palmitoyltransferase: 42
reverse	transcriptase: 39
pyruvate	dehydrogenase: 37
16S	rRNA: 32
initiation	factor: 31
complex	I: 31
lactate	dehydrogenase: 30
protein	C: 29
histone	deacetylase: 29
hepatic	lipase: 29
glycerol-3-phosphate	dehydrogenase: 29
cathepsin	K: 29
phosphoinositide	3-kinase: 28
alanine	transaminase: 27
tyrosine	hydroxylase: 25
factor	I: 25
cathepsin	S: 25
adenylate	cyclase: 25
cyclin-dependent	kinase: 23
proprotein	convertase: 22
beta-hydroxysteroid	dehydrogenase: 21
protein	phosphatase: 20
methylenetetrahydrofolate	reductase: 19
diacylglycerol	acyltransferase: 19
acyl-CoA	oxidase: 19
glutathione	S-transferase: 18
creatine	kinase: 18
MAP	kinase: 18
gamma-glutamyl	transpeptidase: 17
aspartate	transaminase: 17
IkappaB	kinase: 16
acid	phosphatase: 15
phospholipase	C: 14
heme	oxygenase: 14
glucose-6-phosphate	dehydrogenase: 14
creatine	phosphokinase: 14
acyl-CoA	synthetase: 14
AMP-activated	kinase: 14
xanthine	oxidase: 13
prohormone	convertase: 13
glutathione	reductase: 13
acyl-CoA	dehydrogenase: 13
phospholipase	A2: 12
nuclear	protein: 12
carbonic	anhydrase: 12
adenosine	deaminase: 12
glycogen	phosphorylase: 11
ATP	synthase: 11
nicotinamide	phosphoribosyltransferase: 10
guanylyl	cyclase: 10
monoamine	oxidase: 9
RNA	polymerase: 9
tryptophan	hydroxylase: 8
triacylglycerol	lipase: 8
monoacylglycerol	lipase: 8
glucose	oxidase: 8
serine	palmitoyltransferase: 7
phosphatase	2A: 7
amine	oxidase: 7
aldose	reductase: 7
pyruvate	kinase: 6
phospholipase	D: 6
neutrophil	elastase: 6
neutral	endopeptidase: 6
malonyl-CoA	decarboxylase: 6
glycerol	phosphate: 6
elongation	factor: 6
cholesterol	acyltransferase: 6
cholesterol	7alpha-hydroxylase: 6
carboxypeptidase	E: 6
biotin	carboxylase: 6
NADH	dehydrogenase: 6
succinate	dehydrogenase: 5
pyruvate	transaminase: 5
nitric-oxide	synthase: 5
lysophospholipase	D: 5
cytochrome	oxidase: 5
aldehyde	dehydrogenase: 5
alcohol	dehydrogenase: 5
L-arabinose	isomerase: 5
Bacteroides	fragilis: 5
thioredoxin	reductase: 4
ribosomal	RNA: 4
phosphatidylethanolamine	N-methyltransferase: 4
monoglyceride	lipase: 4
methionine	synthase: 4
methionine	adenosyltransferase: 4
malate	dehydrogenase: 4
histone	demethylase: 4
histone	acetyltransferase: 4
glycerol	kinase: 4
glutamyl	transpeptidase: 4
gelatinase	A: 4
factor	Xa: 4
dimethylarginine	dimethylaminohydrolase: 4
diacylglycerol	lipase: 4
complex	II: 4
choline	acetyltransferase: 4
beta-hydroxyacyl-CoA	dehydrogenase: 4
adenylate	kinase: 4
DNA	methyltransferase: 4
CaM	kinase: 4
3beta-hydroxysteroid	dehydrogenase: 4
thyroid	peroxidase: 3
steroid	sulfatase: 3
sphingosine	kinase: 3
sphingomyelin	synthase: 3
phosphorylase	kinase: 3
neutral	sphingomyelinase: 3
isocitrate	dehydrogenase: 3
inositol	3-kinase: 3
guanylate	cyclase: 3
glutamate	decarboxylase: 3
citrate	lyase: 3
cholesterol	oxidase: 3
cathepsin	B: 3
aldehyde	reductase: 3
adenyl	cyclase: 3
ATP	citrate: 3
ubiquitin-activating	enzyme: 2
superoxidase	dismutase: 2
pyruvate	carboxylase: 2
protein	disulfide-isomerase: 2
phospholipase	A: 2
phosphatidate	phosphatase: 2
phenylalanine	hydroxylase: 2
ornithine	decarboxylase: 2
lysyl	oxidase: 2
lysyl	hydroxylase: 2
lactic	dehydrogenase: 2
iodothyronine	5'-deiodinase: 2
insulin-degrading	enzyme: 2
