C-reactive	protein: 1355
leptin	receptor: 444
insulin	receptor: 423
neuropeptide	Y: 182
lipoprotein	lipase: 155
peptide	YY: 116
aspartate	aminotransferase: 106
parathyroid	hormone: 105
glucocorticoid	receptor: 104
estrogen	receptor: 98
hormone-sensitive	lipase: 91
prostate-specific	antigen: 90
alkaline	phosphatase: 68
serum	albumin: 65
glycogen	synthase: 60
cytochrome	c: 56
apolipoprotein	E: 55
toll-like	receptor: 48
mineralocorticoid	receptor: 48
melanocortin	receptor: 45
androgen	receptor: 45
citrate	synthase: 44
agouti-related	protein: 40
apolipoprotein	A-I: 32
tissue	factor: 29
cyclin	D1: 29
cathepsin	K: 29
cathepsin	S: 25
adenylate	cyclase: 25
progesterone	receptor: 22
chemokine	receptor: 22
methylenetetrahydrofolate	reductase: 19
histone	H3: 19
glutathione	S-transferase: 18
opioid	receptor: 17
ghrelin	O-acyltransferase: 17
glucagon	receptor: 15
complement	C3: 15
glutathione	reductase: 13
bombesin	receptor: 13
Phaseolus	vulgaris: 13
phospholipase	A2: 12
fusion	protein: 12
apolipoprotein	B-100: 12
adenosine	deaminase: 12
protein	complex: 11
glycogen	phosphorylase: 11
NF-kappaB	inhibitor: 11
Drosophila	melanogaster: 11
somatostatin	receptor: 10
nicotinamide	phosphoribosyltransferase: 10
interferon	gamma: 10
death	receptor: 10
Saccharomyces	cerevisiae: 10
orexin	receptor: 8
apolipoprotein	C-III: 8
annexin	A6: 8
vasodilator-stimulated	phosphoprotein: 7
small	GTPase: 7
signal	peptide: 7
matrix	metalloproteinase-9: 7
glycerol-3-phosphate	acyltransferase: 7
gastrin-releasing	peptide: 7
corticosteroid-binding	globulin: 7
aldose	reductase: 7
receptor	complex: 6
neutrophil	elastase: 6
carboxypeptidase	E: 6
biotin	carboxylase: 6
apelin	receptor: 6
NADH	dehydrogenase: 6
Homo	sapiens: 6
janus	kinase: 5
interleukin-1	beta: 5
indoleamine	2,3-dioxygenase: 5
endothelin	receptor: 5
adenosine	receptor: 5
Mycobacterium	tuberculosis: 5
L-arabinose	isomerase: 5
thioredoxin-interacting	protein: 4
thioredoxin	reductase: 4
phosphatidylethanolamine	N-methyltransferase: 4
oxytocin	receptor: 4
monoglyceride	lipase: 4
methionine	synthase: 4
mannose	receptor: 4
malate	dehydrogenase: 4
lipopolysaccharide-binding	protein: 4
histone	H4: 4
glycerol	kinase: 4
endothelial	lipase: 4
apolipoprotein	A-V: 4
adenylate	kinase: 4
thyroid	peroxidase: 3
selenoprotein	P: 3
prolactin-releasing	peptide: 3
pancreatic	alpha-amylase: 3
galanin-like	peptide: 3
double-stranded	DNA: 3
cathepsin	B: 3
calcitonin	receptor: 3
apolipoprotein	A-IV: 3
Danio	rerio: 3
14-3-3	protein: 3
selenoprotein	S: 2
protein	disulfide-isomerase: 2
prolactin	receptor: 2
prokineticin	receptor: 2
ornithine	decarboxylase: 2
macromolecular	complex: 2
interferon	beta: 2
integrin	alphaMbeta2: 2
insulin-degrading	enzyme: 2
histidine	decarboxylase: 2
granzyme	B: 2
glucosamine-6-phosphate	deaminase: 2
diacylglycerol	kinase: 2
cystathionine	gamma-lyase: 2
cystathionine	beta-synthase: 2
acetoacetyl-CoA	synthetase: 2
Rattus	norvegicus: 2
tubby	protein: 1
tribbles	3: 1
translocator	protein: 1
thymidine	kinase: 1
sulfotransferase	1A1: 1
single-minded	1: 1
renin	receptor: 1
relaxin	receptor: 1
protoporphyrinogen	oxidase: 1
prostanoid	receptor: 1
prostacyclin	synthase: 1
phospholipase	A1: 1
neuropeptide	W: 1
molecular	entity: 1
integrin	alpha-M: 1
hypoxanthine	phosphoribosyltransferase: 1
histone	H2A.Z: 1
growth/differentiation	factor: 1
glyceraldehyde-3-phosphate	dehydrogenase: 1
glutathione	synthetase: 1
glutamine	synthetase: 1
galanin	receptor: 1
follitropin	receptor: 1
estrogen	sulfotransferase: 1
erythropoietin	receptor: 1
dopamine	beta-hydroxylase: 1
dihydropteridine	reductase: 1
dihydrofolate	reductase: 1
cystine/glutamate	transporter: 1
cyclin	E2: 1
cyclin	B1: 1
cholesterol	25-hydroxylase: 1
ceramide	glucosyltransferase: 1
cathepsin	Z: 1
cathepsin	H: 1
carnitine	O-acetyltransferase: 1
carboxypeptidase	D: 1
carboxylesterase	3: 1
beta-galactosidase-1-like	protein: 1
autoimmune	regulator: 1
appetite-regulating	hormone: 1
apolipoprotein	M: 1
apolipoprotein	L1: 1
apolipoprotein	D: 1
apolipoprotein	C-II: 1
apolipoprotein	A-II: 1
annexin	A2: 1
annexin	A1: 1
aminopeptidase	N: 1
alpha-methylacyl-CoA	racemase: 1
alpha-defensin	5: 1
agouti-signaling	protein: 1
acid	ceramidase: 1
Xenopus	laevis: 1
TGF-beta	1: 1
Sus	scrofa: 1
NF-kappaB	complex: 1
NAD-dependent	deacetylase: 1
Mus	musculus: 1
IKK-related	kinase: 1
CpG-binding	protein: 1
Bacillus	subtilis: 1
AKT	kinase: 1
3-ketoacyl-CoA	thiolase: 1
